Extension:      Description:                              Used tool(s):
.xlsm           Excel Open XML Macro-Enabled Spreadsheet  [unzip|7z]
.xlsx           Excel Open XML Spreadsheet Template       [unzip|7z]
.xltx           Excel Open XML Spreadsheet Template       [unzip|7z]
.xmz            Zipped FastTracker 2 Extended Module      [unzip|7z]
.xo             Activity Bundle for the Sugar platform    [unzip|7z]
.xpi            Mozilla Installer Package                 [unzip|7z]
.xrns           Renoise Song File                         [unzip|7z]
.xsn            InfoPath Form Template File               [unzip|7z]
.xz             XZ Compressed Archive                     [(un)xz]
.xzm            Porteus Module                            [unsquashfs]
.z              TempleOS Compressed File                  [tosz]
.Z              Unix Compressed File                      [(un)compress]
.z[0-9][0-9]    WinZip Split Zip File                     [unzip|7z]
.zab            Zipped Audio Book                         [unzip|7z]
.zad            Carmageddon Game Data File                [unzip|7z]
.zfsendtotarget Microsoft Compressed Folder               [unzip|7z]
.zi             Renamed .zip                              [unzip|7z]
.zim            OpenZIM Wiki Archive                      [zimdump]
.zip            Zipped File                               [unzip|7z]
.zipx           Extended Zip File                         [7z]
.zl             Raw Zlib Compressed File                  [g(un)zip+<internal>]
